Date,Year,Julian_Date,time,Site,Cl,NO3,PO4,SO4 ,TN,TP,stage,temperature ,dox,pH,clarity,Turbidity ,Ecoli ,"1,7-Dimethylxanthine",Acetaminophen,Amphetamine ,Caffeine,Carbamazepine,Cimetidine ,Cotinine,Diphenhydramine,MDMA,Methamphetamine,Morphine ,Sulfadimethoxine ,Sulfamethoxazole,Thiabendazole ,d15N-NO3 ,d18O-NO3  ,Ca,HCO3,K ,Mg,Na ,,
23-Nov-04,2004,328,8:55,GFuGR,62.8,1.52,3.3,17.5,1.52,18.6,,12.1,8.63,7.57,clear,0.73,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-04,2004,328,9:50,GFVN,56.7,1.29,3,11.3,1.32,8,0.95,11.3,9.05,7.56,clear,1.12,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-04,2004,328,8:47,GRGF,124,2.69,4.3,38,3.03,102,,15.1,4.97,7.33,clear,7.14,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-04,2004,328,8:20,MAWI,68.6,1.14,4.1,25.3,1.21,16.9,0.51,12.1,8.13,7.28,clear,0.5,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-04,2004,328,10:15,MCDN,4.85,5.53,18.1,16.7,5.53,24.3,0.22,11.6,7.15,6.7,clear,0.09,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-04,2004,328,12:16,POBR,2.77,0.01,2.8,1.29,0.08,5.7,1.22,11,8.25,6.22,clear,0.84,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-04,2004,328,9:21,RGHTisco,18.4,0.01,2.5,14.1,1.46,264,,,,,turbid,11.47,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-04,2004,335,13:05,BARN,23.6,1.35,2.9,3.42,1.29,2.2,1.24,8.1,7.59,6.89,clear,0.53,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-04,2004,335,9:42,DRKR,141,0.92,5.4,29,1.05,10.8,0.7,7.6,8.21,7.67,clear,3.13,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-04,2004,335,8:27,GFCP,49.6,1.25,3.4,18.2,1.35,27.3,2.11,8.5,8.9,7.56,sl. Turbid,4.91,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-04,2004,335,10:45,GFGB,46,2.28,3.6,8.16,2.28,3.6,0.16,8,7.95,7.24,clear,1.18,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-04,2004,335,11:10,GFGL,77.9,2.00,8,30.5,2.03,15,0.91,8.4,7.42,7.43,clear,3.05,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-04,2004,335,8:50,GFuGR,47.8,1.25,3.5,17.3,1.3,16.6,,8.3,8.2,7.59,clear,4.48,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-04,2004,335,9:57,GFVN,50.2,1.27,3.4,13,1.33,5.9,1.08,7.6,8.36,7.45,clear,2.88,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-04,2004,335,8:42,GRGF,107,2.55,4.2,37,2.75,81.8,,12.3,5.39,7.2,sl. Turbid,9.19,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-04,2004,335,8:15,MAWI,59.9,1.85,4.4,25.9,1.89,9.36,0.59,8.5,10.02,7.47,clear,1.18,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-04,2004,335,10:28,MCDN,4.88,5.62,15.7,17.1,5.62,32.4,0.25,10,6.95,6.43,clear,0.49,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-04,2004,335,12:25,POBR,2.57,0.01,2.6,1.81,0.06,4.6,1.22,8.6,7.43,6.42,clear,0.88,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-04,2004,335,9:05,RGHTisco,9.03,0.18,2.3,12,0.9,127,,,,,turbid,6.79,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec-04,2004,342,12:47,BARN,22.4,1.46,3.2,3.43,1.46,3.4,1.28,8.2,8.68,6.59,clear,0.77,,,,,,,,,,,,,,,,,,4.62,10.52,1.12,3.13,9.17,,
7-Dec-04,2004,342,9:55,DRKR,180,1.50,6.9,33.1,1.53,17,1,8.8,10.31,7.54,turbid,7.72,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec-04,2004,342,8:35,GFCP,53.9,2.37,11.2,18.9,2.42,151,2.32,9.5,9.03,7.44,very turbid,21.9,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec-04,2004,342,11:07,GFGB,47.2,2.64,3.4,7.81,2.64,2.8,0.22,9.8,8.83,7.01,clear,1.78,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec-04,2004,342,11:28,GFGL,66,1.69,5,25.5,1.72,14.4,0.98,8.6,8.65,7.56,slightly turbid,11.47,,,,,,,,,,,,,,,,,,37.14,84.23,1.71,13.12,32.41,,
7-Dec-04,2004,342,8:55,GFuGR,67.3,1.87,5.6,19.8,1.79,20.8,,8.3,8.1,7.62,slightly turbid,4.53,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec-04,2004,342,10:10,GFVN,62.2,1.76,4.4,15,1.67,4.6,1.16,8.1,9.74,7.55,clear,2.31,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec-04,2004,342,8:45,GRGF,15,2.23,52.5,13.5,2.37,285,,11.2,8.24,7.09,very turbid,33.2,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec-04,2004,342,8:20,MAWI,53.4,2.03,11.9,24.5,2.03,77.4,0.86,9.5,10.05,7.53,turbid,16.6,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec-04,2004,342,10:40,MCDN,4.69,5.51,15.5,16.7,5.51,28.2,0.24,9.8,7.66,6.53,clear,0.98,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec-04,2004,342,12:25,POBR,2.43,0.01,2.9,2.12,0.11,5.8,1.26,8.6,9.86,6.22,clear,1.46,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec-04,2004,342,9:15,RGHT,5.29,1.03,46.8,14.1,1.39,90,,8.3,11.21,7.47,slightly turbid,9.48,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec-04,2004,342,9:15,RGHTisco,3.86,0.44,1.5,5.68,0.83,86.1,,,,,slightly turbid,6.99,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec-04,2004,349,13:50,BARN,22.5,1.44,3.2,3.75,1.44,1.5,1.28,5.3,9.84,6.97,clear,,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec-04,2004,349,10:10,DRKR,163,1.38,7,33.6,1.4,10.8,0.71,4.7,10.36,7.79,clear,2.01,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec-04,2004,349,8:45,GFCP,67.2,1.76,4.1,22.3,1.68,6.6,2.09,6,10.72,7.48,clear,1.38,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec-04,2004,349,11:40,GFGB,50.1,2.60,3.6,8.8,2.6,5.9,0.18,5.7,11.32,7.21,clear,1.13,740,,,,,,,,,,,,,,,,,,,,,,,
14-Dec-04,2004,349,12:00,GFGL,83.8,2.30,8.1,31,2.23,10.1,0.9,5,10.97,7.45,clear,2.07,,,,,,,,,,,,,,,,,,50.72,115.01,1.78,20.95,27.19,,
14-Dec-04,2004,349,9:10,GFuGR,65,1.71,4.2,21.3,1.62,7.8,,5.8,10.61,7.69,clear,1.24,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec-04,2004,349,10:35,GFVN,57.3,1.69,3.9,14,1.66,4.1,1.06,4.9,9.91,7.59,clear,1.83,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec-04,2004,349,9:04,GRGF,123,3.73,5.2,43.6,3.65,56.1,,10.5,7.15,7.41,clear,3.92,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec-04,2004,349,8:27,MAWI,67.3,2.12,4.8,28.2,2.05,8.26,0.6,6,11.47,7.4,clear,0.96,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec-04,2004,349,11:05,MCDN,4.74,5.87,21.1,16.9,5.87,33.1,0.25,8,9.47,6.91,clear,0.48,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec-04,2004,349,13:16,POBR,2.68,0.01,3,1.87,0.07,3.5,1.24,6,9.5,5.9,clear,0.53,,,,,,,,,,,,,,,,,,0.68,9.26,0.63,0.63,1.73,,
14-Dec-04,2004,349,9:35,RGHT,84.5,0.09,2024,31.8,19.86,2912,,11.9,6.37,7.39,"sl. Grey, clear",24,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec-04,2004,349,9:35,RGHTisco,4.01,0.48,62.5,5.15,1.01,148,,,,,NA,7.33,,,,,,,,,,,,,,,,,,,,,,,,
21-Dec-04,2004,356,12:40,BARN,23.3,1.65,3.2,3.15,1.57,2.3,1.25,0.8,13.6,6.76,clear,0.32,,,,,,,,,,,,,,,,,,,,,,,,
21-Dec-04,2004,356,9:35,DRKR,257,1.85,8.5,39.6,1.78,29.4,0.68,0.7,14.6,7.79,clear,2.06,,,,,,,,,,,,,,,,,,,,,,,,
21-Dec-04,2004,356,8:35,GFCP,90.6,2.22,4.3,22.9,2.22,21.4,1.96,1,11.98,7.47,crystal clear,2.97,,,,,,,,,,,,,,,,,,,,,,,,
21-Dec-04,2004,356,10:35,GFGB,54.3,2.98,3.8,7.42,2.98,2.8,0.12,1.3,14.52,7.2,clear,0.77,,,,,,,,,,,,,,,,,,,,,,,,
21-Dec-04,2004,356,11:05,GFGL,100,2.96,9.8,33.7,2.92,7,0.85,1.1,14.11,7.45,clear,1.53,,,,,,,,,,,,,,,,,,59.27,134.41,1.72,26.06,32.36,,
21-Dec-04,2004,356,8:55,GFuGR,88.1,2.03,4.9,21.5,2.17,17.8,,0.7,13.88,7.59,crystal clear,1.47,,,,,,,,,,,,,,,,,,,,,,,,
21-Dec-04,2004,356,9:55,GFVN,67.6,2.20,4,12.8,2.2,3,1.26,0.7,14.95,7.5,clear,1.52,,,,,,,,,,,,,,,,,,,,,,,,
21-Dec-04,2004,356,8:50,GRGF,138,3.64,5,43.5,3.67,151,,8,8.11,7.37,sl. Turbid,7.45,,,,,,,,,,,,,,,,,,,,,,,,
21-Dec-04,2004,356,8:20,MAWI,113,2.30,4.7,30.6,2.21,5.76,0.55,0.7,14.34,7.24,clear,1.21,,,,,,,,,,,,,,,,,,,,,,,,
21-Dec-04,2004,356,10:20,MCDN,4.75,6.10,21.4,16.9,6.1,30.5,0.24,5.3,11.92,6.53,clear,0.4,,,,,,,,,,,,,,,,,,10.55,24.54,1.47,4.51,7.97,,
21-Dec-04,2004,356,12:20,POBR,2.68,0.01,2.8,1.54,0.05,2.9,1.27,1,13.58,6.43,clear,0.53,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-04,2004,363,13:30,BARN,24.3,1.68,3.3,3.43,1.63,5.1,1.3,0.7,13.59,6.75,clear,5.71,,,,,,,,,,,,,,,,,,5.44,12.38,1.17,3.82,12.34,,
28-Dec-04,2004,363,10:15,DRKR,154,1.85,10.1,38.1,1.88,12.8,0.7,0.8,12.97,7.75,clear,2.88,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-04,2004,363,9:05,GFCP,91.2,2.15,6,23.1,2.08,10.3,1.9,0.9,12.5,7.43,clear,4.28,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-04,2004,363,11:20,GFGB,55.8,2.96,4.3,8.15,2.9,2.4,0.14,1.4,12.42,7.21,clear,1.13,,,,,,,,,,,,,,,,,,23.6,53.51,2.08,10.38,21.01,,
28-Dec-04,2004,363,11:42,GFGL,108,3.09,10.8,33.9,3.14,7.8,0.91,1.3,13.45,7.42,clear,2.48,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-04,2004,363,9:25,GFuGR,90.5,2.10,8.9,21.7,2.06,22.4,,0.6,12.47,7.62,clear,3.89,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-04,2004,363,10:35,GFVN,82.7,2.05,4.9,14.7,2.01,5,1.09,0.9,13.33,7.46,clear,3.18,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-04,2004,363,9:05,GRGF,121,2.60,6.6,41.9,3.44,42.6,,7.2,7.99,7.36,clear,5.23,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-04,2004,363,8:50,MAWI,95.4,2.07,4.2,26.8,2.07,6.51,0.56,1.4,14.45,7.25,clear,2.9,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-04,2004,363,11:00,MCDN,4.79,6.10,33.1,16.8,6.1,30.3,0.24,5.9,11.29,6.56,clear,0.47,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-04,2004,363,13:05,POBR,2.74,0.02,2.8,1.84,0.06,3,1.25,0.9,14.78,6.4,clear,0.41,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-04,2004,363,9:55,RGHT,257,0.14,121,9.17,1.32,231,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-04,2004,363,9:55,RGHT,257,0.14,121,9.17,1.32,231,,,,,Turbid,12.74,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-05,2005,4,12:30,BARN,23.4,1.56,3.4,3.29,1.58,2.6,1.25,10.6,,6.5,clear,0.8,,,,,,,,,,,,,,,,,,4.72,10.74,1.13,3.12,9.66,,
4-Jan-05,2005,4,9:35,DRKR,276,1.36,9.8,37,1.41,13.8,0.69,10.2,,7.79,clear,1.95,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-05,2005,4,8:32,GFCP,79.3,2.01,4.5,21.1,1.94,10.6,1.95,9.5,,7.16,clear,1.5,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-05,2005,4,10:35,GFGB,51.3,2.71,4,7.4,2.67,5.5,0.14,10.8,,7.07,clear,1.06,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-05,2005,4,11:00,GFGL,87.1,2.16,9.9,28.8,2.17,13.2,0.9,11.6,,7.29,clear,2.54,,,,,,,,,,,,,,,,,,51.04,115.75,1.79,21.58,29.99,,
4-Jan-05,2005,4,8:50,GFuGR,76.3,1.98,10.6,19.9,1.94,9.2,,9.3,,7.42,clear,1.18,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-05,2005,4,9:55,GFVN,63.9,1.92,4.5,12.3,1.89,5.5,0.99,9.9,,7.35,clear,1.65,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-05,2005,4,8:43,GRGF,129,1.48,5.9,41.6,2.26,14.8,,13.4,,7.02,s. turbid,3.72,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-05,2005,4,8:20,MAWI,77.5,2.06,5.5,28.9,2.01,7.55,0.52,10.3,,7.03,clear,1.28,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-05,2005,4,10:20,MCDN,4.52,5.96,30.3,16.6,6.02,33.3,0.24,11.9,,6.52,clear,0.74,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-05,2005,4,12:15,POBR,2.66,0.01,3.2,1.74,0.07,4.1,1.22,11,,5.65,clear,1.11,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-05,2005,4,9:10,RGHT,58.7,5.24,2070,22.2,27.18,2948,,13.4,,7.37,"grey, turbid",24.3,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-05,2005,11,12:55,BARN,23.2,1.58,3.4,3.71,1.52,2.1,1.26,6.5,,6.52,clear,0.57,,,,,,,,,,,,,,,,,,4.39,9.99,1.24,2.95,9.34,,
11-Jan-05,2005,11,10:00,DRKR,228,1.29,8.5,35.4,1.34,12.1,0.7,6.6,13.64,7.81,clear,2.79,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-05,2005,11,8:45,GFCP,68.1,1.64,4.8,20.2,1.67,5.2,2,6.9,12.56,7.26,clear,2.2,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-05,2005,11,11:20,GFGB,51.1,2.73,4.3,8.32,2.73,3.1,0.17,7.3,,7.15,clear,1.6,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-05,2005,11,11:30,GFGL,81.4,2.39,9.4,30,2.36,10.6,0.92,7,,7.32,clear,4.29,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-05,2005,11,9:05,GFuGR,65.5,1.62,5.7,19.1,1.65,9.6,,6.8,10.91,7.53,clear,1.98,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-05,2005,11,10:15,GFVN,60.9,1.78,4.2,13.1,1.81,3.4,1.05,6.6,13.25,7.49,clear,1.66,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-05,2005,11,8:58,GRGF,120,2.64,6.6,40.4,3.46,55.9,,11,6.91,7.17,sl. Turbid,6.9,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-05,2005,11,8:30,MAWI,68.2,1.95,5.2,27.8,1.99,8.41,0.54,7.2,10.98,7.01,clear,1.16,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-05,2005,11,11:00,MCDN,4.8,6.08,28,16.7,6.1,30.1,0.24,9,12.09,6.59,clear,0.56,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-05,2005,11,12:40,POBR,2.48,0.02,3.4,1.88,0.12,3.4,1.23,6.7,,5.67,clear,0.82,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-05,2005,11,9:35,RGHT,116,0.33,,20.5,25.47,1991,,6.9,11.18,7.74,clear,5.85,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-05,2005,11,9:35,RGHTisco,36.6,2.30,153,10.4,4.12,465,,,,,NA,27.1,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-05,2005,18,11:55,BARN,22.3,1.47,5,4.63,1.48,9.8,1.39,1.2,,6.39,clear,1.16,,,,,,,,,,,,,,,,,,4.37,9.94,0.99,3,9.3,,
18-Jan-05,2005,18,9:45,DRKR,183,1.73,12.1,37.4,1.77,18.3,0.7,1.1,,7.57,s. turbid,6.94,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-05,2005,18,8:40,GFCP,66.2,2.06,10.9,23.5,2.13,24,2.02,1.1,,7.17,s. turbid,4.72,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-05,2005,18,10:30,GFGB,51.4,2.87,5.9,9.68,2.99,5.7,0.16,1.4,,7.14,clear,1.63,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-05,2005,18,10:55,GFGL,103,3.14,13.8,35.5,3.2,20.1,0.94,1.4,,7.21,clear,2.37,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-05,2005,18,8:55,GFuGR,65,2.06,7,22.8,2.05,13.1,,1,,7.33,s. turbid,4.42,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-05,2005,18,9:55,GFVN,58.8,1.90,6.3,15.6,1.99,5.9,1.06,1.2,,7.24,clear,4.15,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-05,2005,18,8:50,GRGF,119,3.68,7.6,49.4,3.71,36.8,,6.8,,7.17,s. turbid,6.84,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-05,2005,18,8:30,MAWI,57,3.55,48.8,27.2,3.77,97.8,0.64,1.9,,7.12,s. turbid,7.95,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-05,2005,18,10:16,MCDN,4.65,6.33,38.7,16.8,6.41,48,0.25,4.8,,6.32,clear,0.66,,,,,,,,,,,,,,,,,,10.52,24.47,1.54,4.5,7.5,,
18-Jan-05,2005,18,12:00,POBR,2.69,0.03,3.7,2.25,0.06,9.5,1.25,1.6,,5.4,clear,0.53,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-05,2005,18,9:13,RGHTisco,4.59,0.66,39.6,2.38,1.07,162,,,,,NA,19.4,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-05,2005,25,13:42,BARN,27.9,1.59,4.5,3.65,1.58,1.5,1.32,0.7,,7.54,clear,0.66,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-05,2005,25,10:21,DRKR,2010,1.96,13.2,47.6,2.07,29.6,0.69,1.3,,7.27,clear,1.79,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-05,2005,25,8:55,GFCP,523,2.60,7,26.7,2.5,16.5,1.99,0.8,,7.48,clear,1.51,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-05,2005,25,11:45,GFGB,169,3.07,5.9,9.58,3.02,1.5,0.28,1.4,,6.08,clear,0.85,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-05,2005,25,12:02,GFGL,319,2.91,11.1,39.1,2.89,9.7,0.92,1.4,,6.08,clear,3.4,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-05,2005,25,9:40,GFuGR,496,2.60,10,25,2.53,11.6,,0,,7.34,clear,1.55,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-05,2005,25,10:45,GFVN,224,2.37,6,14.9,2.38,1.5,1.15,0.7,,6.86,clear,1.28,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-05,2005,25,9:20,GRGF,725,4.18,22.3,51.9,4.09,61.1,,4.5,,7.13,clear,2.32,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-05,2005,25,8:35,MAWI,657,1.39,154,35.9,6.56,366,0.57,1,,7.14,greysih clear,8.34,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-05,2005,25,11:10,MCDN,4.63,6.44,36.1,16.7,6.44,36.1,0.26,5.9,,6.04,clear,1.04,,,,,,,,,,,,,,,,,,10.27,23.88,1.5,4.42,7.39,,
25-Jan-05,2005,25,13:20,POBR,2.47,0.03,3.6,1.98,0.06,2.8,1.26,1.9,,5.79,clear,0.75,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb-05,2005,32,12:50,BARN,45.4,1.70,4.4,3.53,1.62,1.5,1.28,0.8,,7.7,clear,0.75,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb-05,2005,32,9:30,DRKR,3790,1.43,11.1,48,1.86,13.2,0.71,1,,7.08,clear,4.14,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb-05,2005,32,8:52,GFCP,1700,2.13,6.8,34.5,2.43,6.3,1.93,1.2,,7.57,clear,2.92,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb-05,2005,32,11:05,GFGB,664,3.09,5.2,14.4,3.09,1.5,0.14,2.4,,6.73,clear,1.38,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb-05,2005,32,11:20,GFGL,301,3.19,13.8,32.4,3.16,13.8,0.88,2.6,,6.79,clear,1.86,,,,,,,,,,,,,,,,,,58.14,131.85,2.41,24.52,165.21,,
1-Feb-05,2005,32,9:08,GFuGR,1730,2.13,6.6,34,2.39,8.6,,1.2,,7.67,clear,2.81,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb-05,2005,32,9:50,GFVN,931,2.35,5.6,22.1,2.27,1.5,1.05,1.3,,6.89,clear,1.96,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb-05,2005,32,9:03,GRGF,889,3.50,21.3,42.6,3.47,98.3,,4.8,,7.33,s. turbid,11.37,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb-05,2005,32,8:45,MAWI,1210,1.28,34.6,36.6,5.1,208,0.56,3.4,,7.21,s. turbid,7.28,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb-05,2005,32,10:30,MCDN,4.65,6.33,34.5,16.8,6.28,34.5,0.25,6,,5.98,clear,0.58,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb-05,2005,32,12:40,POBR,2.44,0.01,4.9,1.81,0.06,1.5,1.24,2,,5.48,clear,0.41,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb-05,2005,39,12:00,BARN,32.6,1.57,4.1,3.74,1.53,1.5,1.3,5.7,,6.53,clear,0.95,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb-05,2005,39,9:00,DRKR,1030,1.24,8.6,37,1.31,9.1,0.74,5.1,,7.71,"sl. Turbid, bubbles",3.76,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb-05,2005,39,8:25,GFCP,442,2.02,5.7,24.7,2.02,4,2.13,5.4,,7.46,clear,2.24,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb-05,2005,39,10:05,GFGB,256,2.46,5,12,2.46,3.2,0.19,6.5,,7.27,clear,2.43,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb-05,2005,39,10:36,GFGL,211,2.15,10,29.2,2.2,8.7,0.96,7,,7.32,clear,5.16,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb-05,2005,39,8:45,GFuGR,436,2.06,7.6,23.7,2.06,7.6,,5.4,,7.57,clear,2.19,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb-05,2005,39,9:10,GFVN,282,1.81,4.9,16.4,1.77,2.1,1.14,5,,7.44,"sl. Turbid, bubbles",3.08,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb-05,2005,39,8:40,GRGF,221,3.61,7.9,43.3,3.52,48.2,,8.2,,7.22,s.turbid,6.09,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb-05,2005,39,8:15,MAWI,233,4.56,104,30.9,4.86,269,0.58,9.6,,6.97,cloudy,6.36,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb-05,2005,39,9:40,MCDN,4.62,6.44,35.1,16.7,6.44,35.1,0.25,7.7,,6.37,clear,0.68,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb-05,2005,39,11:45,POBR,2.5,0.02,3.7,2.12,0.07,3.6,1.26,6.1,,5.52,clear,0.77,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb-05,2005,46,12:40,BARN,30.9,1.44,3.9,4.15,1.45,2.7,1.35,9.2,,,clear,0.66,,,,,,,,,,,,,,,,,,4.69,10.67,1.1,3.15,14.87,,
15-Feb-05,2005,46,9:30,DRKR,443,1.05,4.7,25,1.31,19,0.82,6.9,,7.46,very turbid,18.65,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb-05,2005,46,8:45,GFCP,209,1.60,3.5,17.4,1.71,44.4,2.7,6.4,,7.2,very turbid,39.3,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb-05,2005,46,10:45,GFGB,146,1.76,3.6,11.5,1.91,13.2,0.28,6.5,,7.59,turbid,15.99,,,,,,,,,,,,,,,,,,19.82,44.94,2.97,6.85,86.63,,
15-Feb-05,2005,46,11:15,GFGL,146,1.91,7.8,26.5,2.09,23.7,1.06,7,,7.7,sl. Turbid,9.47,,,,,,,,,,,,,,,,,,39.29,89.09,2.51,14.52,65.45,,
15-Feb-05,2005,46,9:05,GFuGR,202,1.56,3.9,15.9,1.7,53,,6.7,,7.3,very turbid,33.8,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb-05,2005,46,9:55,GFVN,200,1.36,3.5,14.8,1.63,43.9,1.42,6.4,,7.22,very turbid,29.5,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb-05,2005,46,9:00,GRGF,197,3.03,7.3,36.2,2.99,41.3,,8.1,,7.12,very turbid,17.75,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb-05,2005,46,8:25,MAWI,162,2.71,36.6,22.8,2.83,121,0.68,8.2,,6.99,very turbid,17.75,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb-05,2005,46,10:15,MCDN,4.68,6.71,32,16.4,6.71,30,0.26,8,,6.33,clear,0.65,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb-05,2005,46,12:20,POBR,2.35,0.01,3.5,2.47,0.09,7.8,1.26,7.5,,5.9,clear,0.78,,,,,,,,,,,,,,,,,,0.89,12.1,0.48,0.79,2.03,,
22-Feb-05,2005,53,13:05,BARN,28.6,1.55,3.8,3.47,1.56,2.4,1.3,5.9,,6.34,clear,0.94,,,,,,,,,,,,,,,,,,,,,,,,
